"act_delta=>history:2, today:4",2019-02-24 00:41:00
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:41:00
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:41:00
"go_aversr_horse=>history:16.3094, today:16.3074",2019-02-24 00:41:00
"actual_wt=>history:113, today:116",2019-02-24 00:41:00
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:41:00
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:41:00
"go_aversr_horse=>history:16.6472, today:17.0285",2019-02-24 00:41:00
"act_delta=>history:-4, today:-1",2019-02-24 00:41:00
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:41:00
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:41:00
"go_aversr_horse=>history:16.6282, today:16.5253",2019-02-24 00:41:00
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:41:00
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:41:00
"go_aversr_horse=>history:17.6258, today:17.2382",2019-02-24 00:41:00
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:41:00
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:41:00
"go_aversr_horse=>history:16.6795, today:16.4908",2019-02-24 00:41:00
"actual_wt=>history:128, today:133",2019-02-25 10:23:23
"act_delta=>history:11, today:16",2019-02-25 10:23:23
"actual_wt=>history:127, today:132",2019-02-25 10:23:23
"act_delta=>history:-5, today:0",2019-02-25 10:23:23
"actual_wt=>history:123, today:126",2019-02-25 10:23:23
"act_delta=>history:-3, today:0",2019-02-25 10:23:23
"actual_wt=>history:130, today:132",2019-02-25 10:23:23
"act_delta=>history:18, today:20",2019-02-25 10:23:23
"actual_wt=>history:122, today:129",2019-02-25 10:23:23
"act_delta=>history:9, today:16",2019-02-25 10:23:24
"actual_wt=>history:126, today:133",2019-02-25 10:23:24
"act_delta=>history:8, today:15",2019-02-25 10:23:24
"actual_wt=>history:131, today:133",2019-02-25 10:23:24
"act_delta=>history:16, today:18",2019-02-25 10:23:24
"actual_wt=>history:124, today:126",2019-02-25 10:23:24
"actual_wt=>history:131, today:133",2019-02-25 10:23:24
"act_delta=>history:0, today:2",2019-02-25 10:23:24
"actual_wt=>history:128, today:131",2019-02-25 10:23:24
"act_delta=>history:-5, today:-2",2019-02-25 10:23:24
"actual_wt=>history:118, today:123",2019-02-25 10:23:24
"act_delta=>history:-10, today:-5",2019-02-25 10:23:24
"actual_wt=>history:120, today:125",2019-02-25 10:23:24
"act_delta=>history:-9, today:-4",2019-02-25 10:23:24
"actual_wt=>history:121, today:123",2019-02-25 10:23:24
"act_delta=>history:-8, today:-6",2019-02-25 10:23:24
"actual_wt=>history:130, today:133",2019-02-25 10:23:24
"act_delta=>history:8, today:11",2019-02-25 10:23:24
"actual_wt=>history:116, today:123",2019-02-25 10:23:24
"act_delta=>history:-10, today:-3",2019-02-25 10:23:24
"actual_wt=>history:121, today:124",2019-02-25 10:23:24
"act_delta=>history:-4, today:-1",2019-02-25 10:23:24
"actual_wt=>history:122, today:124",2019-02-25 10:23:24
"act_delta=>history:-4, today:-2",2019-02-25 10:23:24
"actual_wt=>history:120, today:122",2019-02-25 10:23:24
"act_delta=>history:-11, today:-9",2019-02-25 10:23:24
"actual_wt=>history:118, today:125",2019-02-25 10:23:24
"act_delta=>history:-10, today:-3",2019-02-25 10:23:24
"actual_wt=>history:120, today:119",2019-02-25 10:23:25
"act_delta=>history:-6, today:-7",2019-02-25 10:23:25
"actual_wt=>history:122, today:124",2019-02-25 10:23:25
"act_delta=>history:6, today:8",2019-02-25 10:23:25
"actual_wt=>history:129, today:131",2019-02-25 10:23:25
"act_delta=>history:10, today:12",2019-02-25 10:23:25
"actual_wt=>history:117, today:124",2019-02-25 10:23:25
"act_delta=>history:-4, today:3",2019-02-25 10:23:25
"actual_wt=>history:122, today:129",2019-02-25 10:23:25
"act_delta=>history:4, today:11",2019-02-25 10:23:25
"actual_wt=>history:118, today:120",2019-02-25 10:23:25
"act_delta=>history:2, today:4",2019-02-25 10:23:25
"actual_wt=>history:124, today:126",2019-02-25 10:23:25
"act_delta=>history:-1, today:1",2019-02-25 10:23:25
"actual_wt=>history:110, today:113",2019-02-25 10:23:25
"act_delta=>history:-23, today:-20",2019-02-25 10:23:25
"actual_wt=>history:122, today:124",2019-02-25 10:23:25
"act_delta=>history:-3, today:-1",2019-02-25 10:23:25
"actual_wt=>history:118, today:121",2019-02-25 10:23:25
"act_delta=>history:-2, today:1",2019-02-25 10:23:25
"actual_wt=>history:119, today:121",2019-02-25 10:23:25
"act_delta=>history:-5, today:-3",2019-02-25 10:23:25
"actual_wt=>history:116, today:118",2019-02-25 10:23:25
"act_delta=>history:-2, today:0",2019-02-25 10:23:25
"actual_wt=>history:113, today:116",2019-02-25 10:23:25
"act_delta=>history:-4, today:-1",2019-02-25 10:23:25
"actual_wt=>history:122, today:125",2019-02-25 10:23:25
"act_delta=>history:7, today:10",2019-02-25 10:23:25
"actual_wt=>history:118, today:123",2019-02-25 10:23:25
"act_delta=>history:-3, today:2",2019-02-25 10:23:25
"actual_wt=>history:123, today:128",2019-02-25 10:23:25
"act_delta=>history:7, today:12",2019-02-25 10:23:25
"actual_wt=>history:115, today:118",2019-02-25 10:23:26
"act_delta=>history:-2, today:1",2019-02-25 10:23:26
"actual_wt=>history:110, today:117",2019-02-25 10:23:26
"act_delta=>history:-3, today:4",2019-02-25 10:23:26
"actual_wt=>history:113, today:115",2019-02-25 10:23:26
"act_delta=>history:-5, today:-3",2019-02-25 10:23:26
"actual_wt=>history:119, today:121",2019-02-25 10:23:26
"act_delta=>history:-3, today:-1",2019-02-25 10:23:26
"actual_wt=>history:123, today:125",2019-02-25 10:23:26
"act_delta=>history:-4, today:-2",2019-02-25 10:23:26
"actual_wt=>history:109, today:114",2019-02-25 10:23:26
"act_delta=>history:-6, today:-1",2019-02-25 10:23:26
"actual_wt=>history:114, today:117",2019-02-25 10:23:26
"act_delta=>history:-8, today:-5",2019-02-25 10:23:26
"actual_wt=>history:116, today:114",2019-02-25 10:23:26
"act_delta=>history:1, today:-1",2019-02-25 10:23:26
"actual_wt=>history:117, today:120",2019-02-25 10:23:26
"act_delta=>history:-3, today:0",2019-02-25 10:23:26
"actual_wt=>history:114, today:119",2019-02-25 10:23:26
"act_delta=>history:-7, today:-2",2019-02-25 10:23:26
"actual_wt=>history:110, today:113",2019-02-25 10:23:26
"act_delta=>history:-20, today:-17",2019-02-25 10:23:26
"actual_wt=>history:112, today:113",2019-02-25 10:23:26
"act_delta=>history:4, today:5",2019-02-25 10:23:26
"actual_wt=>history:126, today:128",2019-02-25 10:23:26
"act_delta=>history:3, today:5",2019-02-25 10:23:26
"actual_wt=>history:120, today:123",2019-02-25 10:23:26
"act_delta=>history:-6, today:-3",2019-02-25 10:23:26
"actual_wt=>history:117, today:119",2019-02-25 10:23:26
"act_delta=>history:-7, today:-5",2019-02-25 10:23:26
"actual_wt=>history:116, today:118",2019-02-25 10:23:26
"act_delta=>history:-2, today:0",2019-02-25 10:23:26
"actual_wt=>history:112, today:115",2019-02-25 10:23:26
"act_delta=>history:-10, today:-7",2019-02-25 10:23:26
"actual_wt=>history:117, today:115",2019-02-25 10:23:26
"act_delta=>history:-5, today:-7",2019-02-25 10:23:26
"actual_wt=>history:116, today:118",2019-02-25 10:23:27
"act_delta=>history:-4, today:-2",2019-02-25 10:23:27
"actual_wt=>history:112, today:113",2019-02-25 10:23:27
"act_delta=>history:-2, today:-1",2019-02-25 10:23:27
"score=>history:2090, today:1464",2019-02-28 13:56:46
"horse_star_2_curRace=>history:4, today:2",2019-02-28 13:56:46
"horse_star_3_curRace=>history:3, today:1",2019-02-28 13:56:46
